datetime,open,high,low,close,volume,openinterest
2023-01-01,100.81281798335695,100.41739098502755,96.41905404055633,99.49246340970588,3222,0
2023-01-02,99.07536205056547,101.21817899713135,94.64425733878738,98.66043547650726,4603,0
2023-01-03,95.21282737583151,98.49573264377284,94.07751758971578,96.76364292794435,8407,0
2023-01-04,99.21947250962158,98.73367132820293,97.19704413573034,97.9164482742966,6702,0
2023-01-05,99.23031068414916,98.95337929849785,95.0867260894271,98.2993869118283,7656,0
2023-01-06,98.53335607364303,103.96898821336421,96.68663933118894,99.18599868132918,3365,0
2023-01-07,96.74787784163622,102.61753310966928,96.22343222672819,98.31715965357647,7932,0
2023-01-08,99.83362005257013,100.23693736931881,95.87702759111578,98.4391413664875,4740,0
2023-01-09,97.1793794039017,97.52688629926483,96.22546221135657,96.8777444734656,4889,0
2023-01-10,97.75527600808351,96.88889057330631,92.51424175035055,96.46260087700082,3396,0
2023-01-11,94.81256449555175,99.65464653467117,93.17859375844131,95.9228696174245,5299,0
2023-01-12,99.087973652726,101.10997048791802,97.30525120725383,97.68995309026515,9168,0
2023-01-13,97.55352868165156,101.25088614297833,98.11378029925073,99.35335629369072,8118,0
2023-01-14,99.78484451425513,100.83563886379687,97.96959835684322,98.21572569538382,1625,0
2023-01-15,95.64436922960687,97.89783521142787,95.58525289199605,97.18264857812174,8994,0
2023-01-16,95.96908100947282,99.02269121179445,94.03297758656134,96.6249294293278,5910,0
2023-01-17,97.5873185644306,96.82772569249839,93.31267582417144,95.79956719876637,9220,0
2023-01-18,94.738399764259,97.70658965538067,91.52545431946606,94.40795064313419,5174,0
2023-01-19,94.16073340113184,93.61623615428469,90.16002023793132,93.48783605058166,9300,0
2023-01-20,93.43585769353756,96.00158296327493,92.63496662316315,93.98354605152333,2693,0
2023-01-21,94.34068259225083,96.2786405339284,92.52568276442156,94.99344816212701,8152,0
2023-01-22,94.87908041109503,96.01163253972112,95.35666646229505,95.7581880150084,2320,0
2023-01-23,98.64660554987324,97.15504850024789,92.1066150042797,96.89882186793376,5627,0
2023-01-24,96.42392279426292,101.23402596193532,95.49456856274104,96.75156012484003,7057,0
2023-01-25,96.7114642527045,101.49619796008605,96.0894596563672,96.94183642852634,2996,0
2023-01-26,99.68019701513919,99.51780701111825,94.90919021224101,97.80327253237975,7515,0
2023-01-27,95.97839008180108,96.9954512480965,95.843507256266,96.52016076057056,9238,0
2023-01-28,99.56510667822018,100.84028635263118,95.0355421552336,98.14256805676439,3807,0
